elapsed_seconds,loss_max,loss_median,loss_min,loss_q25,loss_q75,method,method_label,rel_error_max,rel_error_median,rel_error_min,rel_error_q25,rel_error_q75,task_id,task_label
650.0,0.0003181510814913054,2.97517868155771e-05,1.9176858121762644e-05,2.7289528131214013e-05,3.273398176390693e-05,war,WAR (complex64),0.02811444057558955,0.014948040207068887,0.011241570140260324,0.012584461801863882,0.018445688181668203,cahn_hilliard_2d_o6,CH6
655.0,5.916878807414656e-05,2.9958987664151277e-05,1.931760287262991e-05,2.880832860437865e-05,3.158365746075199e-05,war,WAR (complex64),0.0185475604400575,0.012434177541152943,0.011208694336543045,0.012066872674396878,0.013053319717596084,cahn_hilliard_2d_o6,CH6
660.0,4.0908188556563276e-05,3.086327739092979e-05,1.9028869659240053e-05,2.5682195744125728e-05,3.861310225412866e-05,war,WAR (complex64),0.01768467123152093,0.012565387125854205,0.010381159478622603,0.01253469274942626,0.014367341650798534,cahn_hilliard_2d_o6,CH6
665.0,5.997836358877621e-05,4.095108872166778e-05,1.9663115666970056e-05,2.6810019013645366e-05,4.1290420256069026e-05,war,WAR (complex64),0.01730036167828956,0.012637406221024614,0.009714365269634158,0.011718183900274888,0.013983760452193203,cahn_hilliard_2d_o6,CH6
670.0,6.433742337721995e-05,2.9172796619935054e-05,1.7352357099079232e-05,2.5970563858563214e-05,3.646267672966209e-05,war,WAR (complex64),0.017011929379957116,0.012190731175993326,0.009465582904281136,0.011289622718675417,0.015417863109101211,cahn_hilliard_2d_o6,CH6
675.0,0.0011217562053525692,3.288359531499229e-05,1.707070553753337e-05,2.28159224736189e-05,3.548260113924085e-05,war,WAR (complex64),0.016971343284580602,0.011051704532338677,0.009472752999860804,0.010740806551998447,0.011946873397070987,cahn_hilliard_2d_o6,CH6
680.0,0.0005389778615339934,3.3391449577113906e-05,1.6148544454889127e-05,2.9958654253877522e-05,8.339258387317587e-05,war,WAR (complex64),0.032839697062675685,0.016664624151265076,0.009497964126000253,0.013463262202864144,0.022899592084340312,cahn_hilliard_2d_o6,CH6
685.0,3.734862141331031e-05,3.126716777534683e-05,2.2725269744818076e-05,2.3540936587594903e-05,3.157514640284712e-05,war,WAR (complex64),0.015984162076247845,0.013078709038932207,0.009591051195925198,0.011228802044393173,0.01594555041146484,cahn_hilliard_2d_o6,CH6
690.0,3.677208571461408e-05,2.7848049424417086e-05,1.5850640578368536e-05,2.1045355974811432e-05,3.001128781007011e-05,war,WAR (complex64),0.01566371134084308,0.010741397583194043,0.008813671851946344,0.010458428569851325,0.014140250723099155,cahn_hilliard_2d_o6,CH6
695.0,4.122982133124555e-05,2.9786558263822058e-05,1.6000851629341415e-05,2.518798038652951e-05,2.993846943749844e-05,war,WAR (complex64),0.015400732958965692,0.010704106210263629,0.008510615488591375,0.010582866175433815,0.012845744543440852,cahn_hilliard_2d_o6,CH6
700.0,5.010387629523013e-05,2.5178294899659083e-05,1.511500232506891e-05,2.029705560633666e-05,2.9416890370059373e-05,war,WAR (complex64),0.015229424220312543,0.011029524995124352,0.00917605387724215,0.010465814634742582,0.011115413586288467,cahn_hilliard_2d_o6,CH6
705.0,8.535908008690178e-05,2.6231218041340978e-05,1.405834897351587e-05,2.3993660869289088e-05,2.632552642878346e-05,war,WAR (complex64),0.014870649843738816,0.010939556065474499,0.008342225549846548,0.010564380744990153,0.011215422611375998,cahn_hilliard_2d_o6,CH6
710.0,0.018481620651919745,2.6249269343651585e-05,1.55657314086972e-05,2.4467537378158134e-05,2.6351435282174643e-05,war,WAR (complex64),0.19362760722164407,0.011117789574847657,0.008547607494392083,0.009429214258942728,0.014365072448215733,cahn_hilliard_2d_o6,CH6
715.0,0.0006526864208025175,2.4475438476519398e-05,2.008679600626155e-05,2.0127413160132163e-05,2.4695827152121268e-05,war,WAR (complex64),0.036535611005407816,0.010570315753770503,0.007741879565913837,0.010438260367156378,0.015990248731293212,cahn_hilliard_2d_o6,CH6
720.0,6.578836121943953e-05,2.37326375286311e-05,1.5043544257584249e-05,2.3316057358111253e-05,2.5948740219637544e-05,war,WAR (complex64),0.02052638635308698,0.012944010214717378,0.007908558056024154,0.009459172788988524,0.014520469183347613,cahn_hilliard_2d_o6,CH6
