task_id,variant,time_s,median_l2,q25_l2,q75_l2,median_best_l2,q25_best_l2,q75_best_l2,n_seeds
poly_d2_o4,complex_sinh,978.927553,9.9215229335e-03,9.1628032385e-03,1.0922727182e-02,9.9215229335e-03,9.1628032385e-03,1.0922727182e-02,5
poly_d2_o4,complex_sinh,985.632536,9.8386239241e-03,9.0558924371e-03,1.0879188828e-02,9.8386239241e-03,9.0558924371e-03,1.0879188828e-02,5
poly_d2_o4,complex_sinh,992.337520,9.7575940967e-03,8.9519687943e-03,1.0836044147e-02,9.7575940967e-03,8.9519687943e-03,1.0836044147e-02,5
poly_d2_o4,complex_sinh,999.042503,9.6785078063e-03,8.8506810875e-03,1.0793289847e-02,9.6785078063e-03,8.8506810875e-03,1.0793289847e-02,5
poly_d2_o4,complex_sinh,1005.747486,9.6012832579e-03,8.7519791605e-03,1.0750899841e-02,9.6012832579e-03,8.7519791605e-03,1.0750899841e-02,5
poly_d2_o4,complex_sinh,1012.452469,9.5257239867e-03,8.6557866366e-03,1.0708910335e-02,9.5257239867e-03,8.6557866366e-03,1.0708910335e-02,5
poly_d2_o4,complex_sinh,1019.157453,9.4519984715e-03,8.5618682973e-03,1.0667327321e-02,9.4519984715e-03,8.5618682973e-03,1.0667327321e-02,5
poly_d2_o4,complex_sinh,1025.862436,9.3798426314e-03,8.4702834663e-03,1.0626094754e-02,9.3798426314e-03,8.4702834663e-03,1.0626094754e-02,5
poly_d2_o4,complex_sinh,1032.567419,9.3092492233e-03,8.3808423693e-03,1.0585241621e-02,9.3092492233e-03,8.3808423693e-03,1.0585241621e-02,5
poly_d2_o4,complex_sinh,1039.272402,9.2402285273e-03,8.2934027165e-03,1.0544731622e-02,9.2402285273e-03,8.2934027165e-03,1.0544731622e-02,5
poly_d2_o4,complex_sinh,1045.977385,9.1725994105e-03,8.2080515112e-03,1.0504575109e-02,9.1725994105e-03,8.2080515112e-03,1.0504575109e-02,5
poly_d2_o4,complex_sinh,1052.682369,9.1063617334e-03,8.1245125550e-03,1.0464756122e-02,9.1063617334e-03,8.1245125550e-03,1.0464756122e-02,5
