panel,variant,time_s,median_l2,q25_l2,q75_l2,median_best_l2,q25_best_l2,q75_best_l2,n_seeds
chirp_a2,complex_sinh,435.790503,1.3796033812e-04,1.0648115220e-04,1.8204130051e-04,1.0283999690e-04,1.0024861451e-04,1.0648115220e-04,5
chirp_a2,complex_sinh,439.142737,1.1421801563e-04,1.0585390027e-04,1.2211965266e-04,1.0094356072e-04,9.9605749047e-05,1.0585390027e-04,5
chirp_a2,complex_sinh,442.494972,9.9683558577e-05,9.8977886873e-05,1.0523880777e-04,9.9683558577e-05,9.8977886873e-05,1.0523880777e-04,5
chirp_a2,complex_sinh,445.847207,9.9037664167e-05,9.8371690338e-05,1.0463845224e-04,9.9037664167e-05,9.8371690338e-05,1.0463845224e-04,5
chirp_a2,complex_sinh,449.199441,9.8409594052e-05,9.7776012534e-05,1.0404704963e-04,9.8409594052e-05,9.7776012534e-05,1.0404704963e-04,5
chirp_a2,complex_sinh,452.551676,9.7812149342e-05,9.7206923471e-05,1.0347344851e-04,9.7812149342e-05,9.7206923471e-05,1.0347344851e-04,5
chirp_a2,complex_sinh,455.903911,9.7222693167e-05,9.6642625808e-05,1.0290530647e-04,9.7222693167e-05,9.6642625808e-05,1.0290530647e-04,5
chirp_a2,complex_sinh,459.256145,9.6657387692e-05,9.6104193310e-05,1.0235668184e-04,9.6657387692e-05,9.6104193310e-05,1.0235668184e-04,5
chirp_a2,complex_sinh,462.608380,9.6095655606e-05,9.5568760622e-05,1.0181098213e-04,9.6095655606e-05,9.5568760622e-05,1.0181098213e-04,5
chirp_a2,complex_sinh,465.960615,9.5561144391e-05,9.5055940416e-05,1.0128510444e-04,9.5561144391e-05,9.5055940416e-05,1.0128510444e-04,5
chirp_a2,complex_sinh,469.312849,9.5029606279e-05,9.4548196551e-05,1.0076247441e-04,9.5029606279e-05,9.4548196551e-05,1.0076247441e-04,5
chirp_a2,complex_sinh,472.665084,9.4520486792e-05,9.4057841061e-05,1.0025548455e-04,9.4520486792e-05,9.4057841061e-05,1.0025548455e-04,5
chirp_a2,complex_sinh,476.017318,9.4017545949e-05,9.3575544817e-05,9.9753957523e-05,9.4017545949e-05,9.3575544817e-05,9.9753957523e-05,5
chirp_a2,complex_sinh,479.369553,9.3532279524e-05,9.3106097082e-05,9.9264470231e-05,9.3532279524e-05,9.3106097082e-05,9.9264470231e-05,5
chirp_a2,complex_sinh,482.721788,9.3056358464e-05,9.2647182542e-05,9.8782238013e-05,9.3056358464e-05,9.2647182542e-05,9.8782238013e-05,5
chirp_a2,complex_sinh,486.074022,9.2593655870e-05,9.2197236757e-05,9.8309066691e-05,9.2593655870e-05,9.2197236757e-05,9.8309066691e-05,5
chirp_a2,complex_sinh,489.426257,9.2143079073e-05,9.1759894710e-05,9.7844644799e-05,9.2143079073e-05,9.1759894710e-05,9.7844644799e-05,5
chirp_a2,complex_sinh,492.778492,9.1701633923e-05,9.1328139705e-05,9.7386658484e-05,9.1701633923e-05,9.1328139705e-05,9.7386658484e-05,5
chirp_a2,complex_sinh,496.130726,9.1274650791e-05,9.0910599456e-05,9.6938522460e-05,9.1274650791e-05,9.0910599456e-05,9.6938522460e-05,5
chirp_a2,complex_sinh,499.482961,9.0853171342e-05,9.0495762314e-05,9.6494668428e-05,9.0853171342e-05,9.0495762314e-05,9.6494668428e-05,5
chirp_a2,complex_sinh,502.835196,9.0448077957e-05,9.0096279422e-05,9.6061661006e-05,9.0448077957e-05,9.0096279422e-05,9.6061661006e-05,5
chirp_a2,complex_sinh,506.187430,9.0045312651e-05,8.9698559999e-05,9.5631037548e-05,9.0045312651e-05,8.9698559999e-05,9.5631037548e-05,5
chirp_a2,complex_sinh,509.539665,8.9660341834e-05,8.9314204535e-05,9.5211433749e-05,8.9660341834e-05,8.9314204535e-05,9.5211433749e-05,5
chirp_a2,complex_sinh,512.891899,8.9277016883e-05,8.8932950112e-05,9.4793671061e-05,8.9277016883e-05,8.8932950112e-05,9.4793671061e-05,5
chirp_a2,complex_sinh,516.244134,8.8908447335e-05,8.8561812701e-05,9.4385409831e-05,8.8908447335e-05,8.8561812701e-05,9.4385409831e-05,5
