task,candidate,lambda_ic,lambda_bc,war_rel_error,ad_rel_error,war_loss,ad_loss,war_steps,ad_steps,war_ms_per_step,ad_ms_per_step,war_peak_mb,ad_peak_mb,geomean,minimax,mean_error
dynamic_plate_2d_o4,point_018,0.1,10.0,1.0054802894592285,0.9911665320396423,0.06375417113304138,0.0635916143655777,2081,1255,28.836172795507668,47.84565937085693,599.77880859375,738.71044921875,0.9982977569530642,1.0054802894592285,0.9983234107494354
dynamic_plate_2d_o4,point_019,0.1,100.0,0.9984551072120667,0.9983567595481873,0.06761465966701508,0.06822629272937775,2097,1277,28.61599739006746,47.01312001249057,599.77880859375,738.71044921875,0.9984059321691637,0.9984551072120667,0.998405933380127
dynamic_plate_2d_o4,point_020,0.1,1000.0,1.000035047531128,0.9998334646224976,0.06852265447378159,0.07306913286447525,2159,1306,27.79805507457411,45.97167999613431,599.77880859375,738.71044921875,0.9999342509970202,1.000035047531128,0.9999342560768127
dynamic_plate_2d_o4,point_021,1.0,0.001,0.5127607583999634,3.935563325881958,2.7672620490193367e-05,0.002949773333966732,2140,1242,28.047445735015046,48.33155603038564,599.77880859375,738.71044921875,1.4205641258705342,3.935563325881958,2.2241620421409607
dynamic_plate_2d_o4,point_022,1.0,0.01,0.05115022137761116,1.5295343399047852,2.3670854716328904e-05,0.004340172745287418,2102,1243,28.54518167812778,48.307920439724754,599.77880859375,738.71044921875,0.27970702545840376,1.5295343399047852,0.7903422806411982
dynamic_plate_2d_o4,point_023,1.0,0.1,0.021996961906552315,0.4177635908126831,2.5457226001890376e-05,0.0018432073993608356,2167,1247,27.68934839656538,48.13916173874854,599.77880859375,738.71044921875,0.09586203520190409,0.4177635908126831,0.2198802763596177
dynamic_plate_2d_o4,point_024,1.0,1.0,0.03222572058439255,0.24140112102031708,0.00011264128261245787,0.003025095909833908,2144,1279,27.99196402653496,46.944383198309446,599.77880859375,738.71044921875,0.08820048228190064,0.24140112102031708,0.1368134208023548
dynamic_plate_2d_o4,point_025,1.0,10.0,0.17466816306114197,0.6509347558021545,0.004507032688707113,0.05798471346497536,2049,1246,29.28873597339283,48.169141974640986,599.77880859375,738.71044921875,0.33719071468327144,0.6509347558021545,0.41280145943164825
dynamic_plate_2d_o4,point_026,1.0,100.0,0.988802433013916,0.9878760576248169,0.13009990751743317,0.1381896287202835,2087,1221,28.753001852452783,49.17410905888635,599.77880859375,738.71044921875,0.9883391367823164,0.988802433013916,0.9883392453193665
dynamic_plate_2d_o4,point_027,1.0,1000.0,0.9987460374832153,0.9988188743591309,0.13792283833026886,0.1448219269514084,2202,1243,27.251924259535677,48.28647948495822,599.77880859375,738.71044921875,0.9987824552572134,0.9988188743591309,0.9987824559211731
dynamic_plate_2d_o4,point_028,10.0,0.001,1.3347523212432861,3.7476744651794434,0.0003052901301998645,0.02435474656522274,2186,1267,27.45970899847567,47.39266064314976,599.77880859375,738.71044921875,2.236563701677744,3.7476744651794434,2.5412133932113647
dynamic_plate_2d_o4,point_029,10.0,0.01,0.2905685305595398,2.4829275608062744,0.0001930051075760275,0.02867533639073372,2143,1231,28.00033098009358,48.759162124884895,599.77880859375,738.71044921875,0.8493883757323628,2.4829275608062744,1.386748045682907
dynamic_plate_2d_o4,point_030,10.0,0.1,0.033735182136297226,0.8032166957855225,0.00011624395847320557,0.040042340755462646,2076,1261,28.905366067388787,47.59634420287505,599.77880859375,738.71044921875,0.1646106361303529,0.8032166957855225,0.41847593896090984
dynamic_plate_2d_o4,point_031,10.0,1.0,0.016209136694669724,0.5363088846206665,0.00026900210650637746,0.035825420171022415,2115,1232,28.374590127603383,48.72696901453877,599.77880859375,738.71044921875,0.09323681687714482,0.5363088846206665,0.2762590106576681
dynamic_plate_2d_o4,point_032,10.0,10.0,0.05557076632976532,0.5501388311386108,0.0008498160168528557,0.0321926474571228,2071,1254,28.975371422470047,47.85354773958096,599.77880859375,738.71044921875,0.17484746619306202,0.5501388311386108,0.3028547987341881
